movie_id,imdb_id,tmdb_id,rating,average_rating,title
2688,0144214,2275,2.0,3.09198,The General's Daughter (1999)
2706,0163651,2105,4.0,3.29757,American Pie (1999)
2710,0185937,2667,3.0,2.8911,The Blair Witch Project (1999)
2712,0120663,345,2.5,3.24452,Eyes Wide Shut (1999)
2716,0087332,620,2.0,3.74861,Ghostbusters (1984)
2722,0149261,8914,1.5,2.69107,Deep Blue Sea (1999)
2730,0072684,3175,3.5,3.83447,Barry Lyndon (1975)
2762,0167404,745,5.0,4.01581,The Sixth Sense (1999)
2763,0155267,913,4.5,3.49472,The Thomas Crown Affair (1999)
2764,0063688,912,3.5,3.56941,The Thomas Crown Affair (1968)
2791,0080339,813,3.5,3.78782,Airplane! (1980)
2795,0085995,11153,2.5,3.75825,National Lampoon's Vacation (1983)
2797,0094737,2280,4.0,3.6098,Big (1988)
2803,0107798,9944,3.0,3.36361,The Pelican Brief (1993)
2805,0130121,10154,2.0,2.85785,Mickey Blue Eyes (1999)
2815,0091278,11037,1.0,2.59811,Iron Eagle (1986)
2858,0169547,14,4.0,4.12177,American Beauty (1999)
2870,0061385,17887,3.0,3.57722,Barefoot in the Park (1967)
2890,0120188,6415,3.0,3.58176,Three Kings (1999)
2915,0086200,9346,2.5,3.48613,Risky Business (1983)
2917,0082089,14412,4.0,3.92298,Body Heat (1981)
2918,0091042,9377,5.0,3.92086,Ferris Bueller's Day Off (1986)
2944,0061578,1654,4.0,3.81669,The Dirty Dozen (1967)
2947,0058150,658,4.0,3.72591,Goldfinger (1964)
2948,0057076,657,4.0,3.68902,From Russia with Love (1963)
2949,0055928,646,4.0,3.66788,Dr. No (1962)
2953,0104431,772,3.0,2.65306,Home Alone 2: Lost in New York (1992)
2959,0137523,550,4.0,4.23071,Fight Club (1999)
2983,0059319,15247,3.5,3.8173,The Ipcress File (1965)
2985,0093870,5548,1.0,3.33668,RoboCop (1987)
2989,0082398,699,3.0,3.44399,For Your Eyes Only (1981)
2990,0097742,709,3.5,3.21718,Licence to Kill (1989)
2991,0070328,253,3.0,3.49137,Live and Let Die (1973)
2993,0059800,660,3.5,3.60447,Thunderball (1965)
3020,0106856,37094,2.5,3.59775,Falling Down (1993)
3033,0094012,957,1.0,3.40692,Spaceballs (1987)
3052,0120655,1832,2.0,3.62164,Dogma (1999)
3062,0056197,9289,4.0,3.8991,The Longest Day (1962)
3066,0066473,11165,3.0,3.671,Tora! Tora! Tora! (1970)
3081,0162661,2668,2.5,3.53074,Sleepy Hollow (1999)
3082,0143145,36643,3.5,3.19996,The World Is Not Enough (1999)
3087,0096061,9647,2.0,3.46153,Scrooged (1988)
3147,0120689,497,4.0,4.02537,The Green Mile (1999)
3173,0146838,9563,2.5,3.1958,Any Given Sunday (1999)
3174,0125664,1850,3.0,3.51974,Man on the Moon (1999)
3175,0177789,926,2.0,3.58607,Galaxy Quest (1999)
3176,0134119,1213,4.0,3.5008,The Talented Mr. Ripley (1999)
3203,0097162,10493,4.0,3.59591,Dead Calm (1989)
3250,0106246,7305,3.5,3.43325,Alive (1993)
3253,0105793,8872,3.0,3.4487,Wayne's World (1992)
3254,0108525,8873,3.0,2.93682,Wayne's World 2 (1993)
3256,0105112,9869,3.5,3.6056,Patriot Games (1992)
3257,0103855,619,2.0,2.80355,The Bodyguard (1992)
3258,0104070,9374,2.0,2.94784,Death Becomes Her (1992)
3259,0104231,11259,3.0,3.28623,Far and Away (1992)
